filename,error,datetime
yellow_tripdata_2020-01.parquet,Incomplete download for file,2025-06-27 15:02:48
yellow_tripdata_2020-02.parquet,Incomplete download for file,2025-06-27 15:02:50
yellow_tripdata_2020-02.parquet,Incomplete download for file,2025-06-27 15:03:11
yellow_tripdata_2020-01.parquet,Incomplete download for file,2025-06-27 15:03:12
yellow_tripdata_2020-02.parquet,Incomplete download for file,2025-06-27 15:03:31
yellow_tripdata_2020-01.parquet,Incomplete download for file,2025-06-27 15:03:34
tlc-trip-record-data.page,Incomplete download for file,2025-06-27 16:54:47
tlc-trip-record-data.page,Incomplete download for file,2025-06-27 16:54:47
tlc-trip-record-data.page,Incomplete download for file,2025-06-27 16:54:49
tlc-trip-record-data.page,Incomplete download for file,2025-06-27 16:54:49
tlc-trip-record-data.page,Incomplete download for file,2025-06-27 16:54:51
tlc-trip-record-data.page,Incomplete download for file,2025-06-27 16:54:52
tlc-trip-record-data.page,Incomplete download for file,2025-06-27 16:55:29
tlc-trip-record-data.page,Incomplete download for file,2025-06-27 16:55:29
tlc-trip-record-data.page,Incomplete download for file,2025-06-27 16:55:31
tlc-trip-record-data.page,Incomplete download for file,2025-06-27 16:55:31
tlc-trip-record-data.page,Incomplete download for file,2025-06-27 16:55:33
tlc-trip-record-data.page,Incomplete download for file,2025-06-27 16:55:33
yellow_tripdata_2020-02.parquet,Incomplete download for file,2025-06-27 16:56:17
yellow_tripdata_2020-01.parquet,Incomplete download for file,2025-06-27 16:56:20
yellow_tripdata_2020-01.parquet,Incomplete download for file,2025-06-27 16:56:41
yellow_tripdata_2020-02.parquet,Incomplete download for file,2025-06-27 16:56:42
yellow_tripdata_2020-02.parquet,Incomplete download for file,2025-06-27 16:57:04
yellow_tripdata_2020-01.parquet,Incomplete download for file,2025-06-27 16:57:04
yellow_tripdata_2020-01.parquet,Incomplete download for file,2025-06-27 17:04:01
yellow_tripdata_2020-02.parquet,Incomplete download for file,2025-06-27 17:04:10
yellow_tripdata_2020-01.parquet,Incomplete download for file,2025-06-27 17:04:44
yellow_tripdata_2020-02.parquet,Incomplete download for file,2025-06-27 17:04:48
yellow_tripdata_2020-01.parquet,Incomplete download for file,2025-06-27 17:05:06
yellow_tripdata_2020-02.parquet,Incomplete download for file,2025-06-27 17:05:09
yellow_tripdata_2020-01.parquet,Incomplete download for file,2025-06-28 20:10:06
yellow_tripdata_2020-01.parquet,[WinError 32] The process cannot access the file because it is being used by another process: 'data\\2020\\yellow_tripdata_2020-01.parquet',2025-06-28 20:10:06
yellow_tripdata_2020-01.parquet,Incomplete download for file,2025-06-28 20:10:28
yellow_tripdata_2020-01.parquet,[WinError 32] The process cannot access the file because it is being used by another process: 'data\\2020\\yellow_tripdata_2020-01.parquet',2025-06-28 20:10:28
yellow_tripdata_2020-01.parquet,Incomplete download for file,2025-06-28 20:10:55
yellow_tripdata_2020-01.parquet,[WinError 32] The process cannot access the file because it is being used by another process: 'data\\2020\\yellow_tripdata_2020-01.parquet',2025-06-28 20:10:55
yellow_tripdata_2020-02.parquet,Incomplete download for file,2025-06-28 20:17:13
yellow_tripdata_2020-02.parquet,[WinError 32] The process cannot access the file because it is being used by another process: 'data\\2020\\yellow_tripdata_2020-02.parquet',2025-06-28 20:17:13
yellow_tripdata_2020-01.parquet,Incomplete download for file,2025-06-28 20:17:19
yellow_tripdata_2020-01.parquet,[WinError 32] The process cannot access the file because it is being used by another process: 'data\\2020\\yellow_tripdata_2020-01.parquet',2025-06-28 20:17:19
yellow_tripdata_2020-01.parquet,Incomplete download for file,2025-06-28 20:24:17
yellow_tripdata_2020-01.parquet,[WinError 32] The process cannot access the file because it is being used by another process: 'data\\2020\\yellow_tripdata_2020-01.parquet',2025-06-28 20:24:17
yellow_tripdata_2020-02.parquet,Incomplete download for file,2025-06-28 20:24:38
yellow_tripdata_2020-02.parquet,[WinError 32] The process cannot access the file because it is being used by another process: 'data\\2020\\yellow_tripdata_2020-02.parquet',2025-06-28 20:24:38
yellow_tripdata_2020-01.parquet,Incomplete download for file,2025-06-28 20:27:40
yellow_tripdata_2020-01.parquet,[WinError 32] The process cannot access the file because it is being used by another process: 'data\\2020\\yellow_tripdata_2020-01.parquet',2025-06-28 20:27:40
yellow_tripdata_2020-02.parquet,Incomplete download for file,2025-06-28 20:27:48
yellow_tripdata_2020-02.parquet,[WinError 32] The process cannot access the file because it is being used by another process: 'data\\2020\\yellow_tripdata_2020-02.parquet',2025-06-28 20:27:48
yellow_tripdata_2020-01.parquet,Incomplete download for file,2025-06-28 20:30:17
yellow_tripdata_2020-01.parquet,[WinError 32] The process cannot access the file because it is being used by another process: 'data\\2020\\yellow_tripdata_2020-01.parquet',2025-06-28 20:30:17
yellow_tripdata_2020-02.parquet,Incomplete download for file,2025-06-28 20:30:24
yellow_tripdata_2020-02.parquet,[WinError 32] The process cannot access the file because it is being used by another process: 'data\\2020\\yellow_tripdata_2020-02.parquet',2025-06-28 20:30:24
yellow_tripdata_2020-02.parquet,Incomplete download for file,2025-06-28 20:32:13
